C,R,H,GE,GR,P,PR
LIGN 7,90.3,3.46,3.56,3.33,Semushina Nina,100.0
LIGN 8,96.29,3.76,3.7,3.62,Caballero Gabriela Hernandez,98.9
MAE 101A,92.8,8.4,3.08,3.13,Behrou Reza,100.0
MAE 101B,93.72,8.31,3.23,3.06,Bilgin Eylul,100.0
MAE 101C,91.04,7.47,3.14,3.11,Pham Hieu Tan,100.0
MAE 104,95.78,7.78,3.3,3.15,Lasheras Juan C.,100.0
MAE 105,83.13,8.24,3.05,3.13,Saintillan David,97.45
MAE 107,76.3,8.27,3.17,3.02,Sharma Harsh Apurva,96.7
MAE 108,83.67,7.7,3.3,3.35,Pham Hieu Tan,94.55
MAE 11,84.65,9.05,3.05,2.83,Rangamani Padmini,95.9
MAE 113,93.06,7.97,3.33,3.21,Weiss Adam Daniel,100.0
MAE 118,77.83,3.19,3.24,2.72,Krasheninnikov Sergei,52.07
MAE 119,87.24,6.57,3.3,3.37,Kleissl Jan,95.1
MAE 120,83.55,6.37,3.21,3.37,Arefiev Alexey,90.87
MAE 122,74.82,7.48,2.97,3.07,Pawlak Geno Ronald,78.75
MAE 123,93.0,5.83,3.18,3.25,Kleissl Jan,100.0
MAE 124,98.7,4.4,3.63,3.61,Teranes Jane,100.0
MAE 125,90.33,6.04,3.31,3.52,Kleissl Jan,94.57
MAE 126A,91.67,10.01,3.32,3.47,Kleissl Jan,100.0
MAE 126B,92.3,11.42,3.62,3.57,Pawlak Geno Ronald,92.3
MAE 130,75.17,7.08,2.99,3.35,Bahadori Mohammad Yousef,87.5
MAE 130A,98.37,5.02,3.45,3.01,Lubarda Marko,100.0
MAE 130B,91.5,9.37,3.0,2.82,Ghazinejad Maziar,98.9
MAE 130C,82.65,6.46,3.18,3.43,Abi Ghanem Maroun,100.0
MAE 131A,94.56,7.0,3.21,3.08,Ghazinejad Maziar,99.22
MAE 131B,90.36,7.05,3.24,3.21,Ghazinejad Maziar,98.54
MAE 140,82.6,6.87,2.97,2.89,Cortes Jorge,94.4
MAE 142,95.84,5.34,3.56,3.49,Anderson Mark Ronald,96.76
MAE 143A,63.68,8.82,2.85,2.94,Bahadori Mohammad Yousef,77.95
MAE 143B,72.39,8.53,3.02,3.23,Anderson Mark Ronald,100.0
MAE 144,64.5,9.78,2.87,3.2,Bewley Thomas R,52.65
MAE 145,82.65,7.99,3.39,3.28,Martinez Sonia,87.85
MAE 146,97.85,8.82,3.64,3.62,Martinez Sonia,94.9
MAE 148,91.18,12.54,3.63,3.9,de Oliveira Mauricio,100.0
MAE 150,90.59,9.29,3.3,3.0,Gravish Nicholas G,97.8
MAE 154,100.0,8.64,3.96,3.5,Delson Nathan Joseph,97.9
MAE 155A,97.68,7.17,3.69,3.73,Anderson Mark Ronald,100.0
MAE 155B,97.76,8.7,3.77,3.8,Hwang John T,100.0
MAE 156A,71.74,10.88,3.38,3.32,Gravish Nicholas G,96.78
MAE 156B,94.77,13.29,3.72,3.77,Qi Huihui,100.0
MAE 160,88.98,5.68,3.66,3.59,Evdokimenko Ekaterina,99.04
