Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Hurwitz Ethan Scott,PSYC 111B - Research Methods II (A),SP23,90.6%,90.6%,9.83,B+ (3.61),A- (3.73)
Winkielman Piotr,PSYC 114 - Lab/Psychophysiological Persp (A),SP23,81.8%,81.8%,2.14,B+ (3.45),B+ (3.54)
Lang Ariel,PSYC 116C - Lab/Clinical Psyc Research III (A),SP23,100.0%,100.0%,4.5,A (4.00),A- (3.92)
Bajic Daniel Andrew,PSYC 117 - Educ Research/Outreach Lab (A),SP23,100.0%,100.0%,5.3,A (4.00),A (4.00)
Miller Cory T.,PSYC 118 - Laboratory in Animal Behavior (A),SP23,100.0%,100.0%,3.5,A (4.00),B+ (3.34)
Chapman Eddie Nathaniel,PSYC 124 - Clinical Assessment/Treatment (A),SP23,95.8%,97.9%,4.06,A- (3.85),A- (3.79)
Kaye Walter H.,PSYC 134 - Eating Disorders (A),SP23,90.1%,84.8%,4.35,B+ (3.68),B+ (3.33)
Willis Jarryd Thomas,PSYC 155 - Health Psychology (A),SP23,99.5%,98.9%,3.67,A- (3.91),A- (3.88)
Wixted John T,PSYC 162 - Psychology and the Law (A),SP23,96.4%,98.4%,4.26,B+ (3.39),B- (2.83)
Kaplan Paul,PSYC 164 - Criminology (A),SP23,97.4%,96.1%,3.47,B+ (3.63),B+ (3.65)
Brady Timothy Francis,PSYC 174 - Visual Cognition (A),SP23,97.5%,100.0%,4.35,B+ (3.49),B- (2.98)
Glaser Dale,PSYC 178 - Industrial Organizational Psyc (A),SP23,92.2%,94.0%,4.15,B (3.12),C+ (2.63)
Wilson Brent M,PSYC 184 - Choice and Self-Control (A),SP23,96.3%,100.0%,4.61,B+ (3.67),B+ (3.58)
Barner David A.,PSYC 190R - The Science of Parenting (A),SP23,72.1%,75.9%,4.85,B+ (3.50),B+ (3.33)
Aron Adam,PSYC 193 - Topics in Psychology (A),SP23,90.0%,90.0%,8.3,A- (3.80),
Chapman Eddie Nathaniel,PSYC 193 - Topics in Psychology (C),SP23,92.3%,100.0%,5.27,A- (3.92),A- (3.77)
Powell Lindsey Jane,PSYC 193 - Topics in Psychology (D),SP23,100.0%,100.0%,4.25,A- (3.75),B (3.23)
Lacefield Katharine I,PSYC 193L - Psychology Laboratory Topics (A),SP23,100.0%,100.0%,4.79,A- (3.79),A- (3.81)
Lacefield Katharine I,PSYC 193L - Psychology Laboratory Topics (B),SP23,92.3%,100.0%,4.5,B+ (3.54),B+ (3.68)
Lacefield Katharine I,PSYC 193L - Psychology Laboratory Topics (C),SP23,100.0%,100.0%,4.3,B+ (3.60),A- (3.86)
Anagnostaras Stephan,PSYC 193L - Psychology Laboratory Topics (D),SP23,100.0%,92.3%,3.27,A- (3.92),A- (3.72)
Rose Fred E.,PSYC 2 - Gen Psych:Biological Foundatns (A),SP23,90.7%,93.0%,5.24,B- (2.92),C (2.07)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (A),SP23,89.5%,96.5%,6.39,B- (2.75),C+ (2.58)
Steiner Eric Tomas,PSYC 60 - Introduction to Statistics (B),SP23,87.0%,95.8%,4.46,B- (2.96),C+ (2.51)
Daniel Pria Lauren,PSYC 71 - Lab/Psych Research Methods (A),SP23,92.6%,92.6%,5.64,B+ (3.36),B (3.13)
Steiner Eric Tomas,PSYC 71 - Lab/Psych Research Methods (B),SP23,92.3%,92.3%,4.96,B (3.15),C+ (2.55)
Sah Robert Lie-Yuan,BENG 1 - Introduction to Bioengineering (A),WI23,69.4%,76.5%,3.17,B+ (3.57),
Valdez-Jasso Daniela,BENG 112A - Soft Tissue Biomechanics (A),WI23,81.0%,100.0%,6.69,B (3.24),B- (2.86)
Taylor Amos Alyssa C,BENG 119B - Design Implmntatn Biomechanics (A),WI23,100.0%,100.0%,6.1,A (4.00),A- (3.87)
Wheeler Bruce Christopher,BENG 119B - Design Implmntatn Biomechanics (A),WI23,100.0%,100.0%,6.1,A (4.00),A- (3.87)
Huang Xiaohua,BENG 120 - Org Chem-Structural & Design (A),WI23,68.0%,64.0%,4.82,B+ (3.44),B+ (3.66)
Palsson Bernhard O.,BENG 123 - Dynamic Simulatn in Bioeng (A),WI23,65.5%,72.4%,9.88,B (3.14),B- (2.97)
Silva Gabriel,BENG 130 - Biotech Thermodynamics & Kinet (A),WI23,42.6%,28.4%,5.35,B (3.10),C+ (2.63)
Silva Gabriel,BENG 140A - Bioengineering Physiology (A),WI23,85.3%,82.4%,4.91,B+ (3.61),B+ (3.55)
Taylor Amos Alyssa C,BENG 152 - BioSystems Engineering Lab (A),WI23,88.9%,66.7%,8.3,A- (3.90),A- (3.77)
Wheeler Bruce Christopher,BENG 152 - BioSystems Engineering Lab (A),WI23,88.9%,100.0%,8.3,A- (3.90),A- (3.77)
Huang Xiaohua,BENG 161B - Biochemical Engineering (A),WI23,60.0%,55.6%,7.3,B+ (3.56),B+ (3.50)
Shi Lingyan,BENG 168 - Biomolecular Engineering (A),WI23,65.6%,50.0%,5.31,B+ (3.34),B+ (3.55)
Taylor Amos Alyssa C,BENG 179B - Design Implmnt Bioinstrumntatn (A),WI23,83.3%,83.3%,10.83,A- (3.83),B+ (3.59)
Wheeler Bruce Christopher,BENG 179B - Design Implmnt Bioinstrumntatn (A),WI23,83.3%,83.3%,10.83,A- (3.83),B+ (3.59)
Pevzner Pavel Arkadjevich,BENG 181 - Molecular Sequence Analysis (A),WI23,69.2%,76.9%,17.5,B (3.17),B+ (3.53)
Cauwenberghs Gert,BENG 186B - Princpls/Bioinstrumentatn Desn (A),WI23,78.3%,78.3%,9.2,B+ (3.35),B+ (3.45)
Taylor Amos Alyssa C,BENG 187C - BENG Design Proj:Implemntation (A),WI23,88.9%,88.9%,5.61,A- (3.89),
Wheeler Bruce Christopher,BENG 187C - BENG Design Proj:Implemntation (A),WI23,88.9%,88.9%,5.61,A- (3.89),
Lal Ratnesh,BENG 191 - Senior Sem I: Professnl Issues (A),WI23,100.0%,100.0%,3.5,A (4.00),
Moshiri Alexander Niema,CSE 100 - Advanced Data Structures (A),WI23,97.0%,98.5%,7.82,B+ (3.60),B+ (3.36)
Moshiri Alexander Niema,CSE 100R - Advanced Data Structures (A),WI23,98.8%,98.4%,7.87,B+ (3.68),B+ (3.47)
Kane Daniel Mertz,CSE 101 - Design & Analysis of Algorithm (A),WI23,86.7%,88.3%,12.24,B (3.10),B (3.08)
Jones Miles E,CSE 105 - Theory of Computation (A),WI23,84.2%,94.9%,8.51,B+ (3.49),B (3.25)
Bellare Mihir,CSE 107 - Intro to Modern Cryptography (A),WI23,90.9%,90.9%,6.14,A- (3.70),B- (2.76)
Miranda Gregory Joseph,CSE 11 - Accel. Intro to Programming (A),WI23,91.3%,87.3%,8.54,B+ (3.63),B+ (3.41)
Griswold William G.,CSE 110 - Software Engineering (A),WI23,62.6%,57.1%,12.35,B+ (3.53),B+ (3.33)
Cao Yingjun,CSE 12 - Basic Data Struct & OO Design (A),WI23,97.2%,93.9%,8.03,A- (3.71),B+ (3.60)
Cao Yingjun,CSE 12 - Basic Data Struct & OO Design (B),WI23,97.9%,95.0%,7.73,A- (3.74),A- (3.73)
Pasquale Joseph,CSE 120 - Princ/Computer Operating Systm (A),WI23,84.7%,87.9%,11.74,B (3.02),B (3.01)
Pasquale Joseph,CSE 120 - Princ/Computer Operating Systm (B),WI23,89.6%,93.8%,11.1,B (3.20),B (3.08)
Shalev Aaron D,CSE 123 - Computer Networks (A),WI23,76.9%,96.2%,13.24,B (3.25),C+ (2.68)
