Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Heninger Nadia A,CSE 127 - Intro to Computer Security (A),WI23,89.5%,86.0%,9.36,B+ (3.33),B (3.28)
Borkowski Michael Humes,CSE 130 - Progrmng Lang:Princpl&Paradigm (A),WI23,76.5%,80.6%,8.26,B (3.18),B (3.19)
Vianu Victor Dan,CSE 132A - Database System Principles (A),WI23,78.8%,77.3%,7.24,B (3.26),B- (2.71)
Powell Thomas Allan,CSE 134B - Web Client Languages (A),WI23,88.5%,86.3%,8.81,B+ (3.32),B (3.10)
Eldon John,CSE 140 - Component&Desgn Tech/Digtl Sys (A),WI23,69.8%,82.6%,7.23,B (3.30),B (3.09)
Chin Bryan W.,CSE 140L - Digital Systems Laboratory (A),WI23,72.7%,88.2%,12.39,B+ (3.51),B+ (3.45)
Tullsen Dean Michael,CSE 141 - Intro/Computer Architecture (A),WI23,86.3%,83.8%,7.72,B- (2.98),B- (2.90)
Eldon John,CSE 141L - Project/Computer Architecture (A),WI23,87.2%,95.7%,7.43,B+ (3.37),B (3.29)
Dasgupta Sanjoy,CSE 151A - Intro to Machine Learning (A),WI23,95.5%,100.0%,8.55,B+ (3.49),B (3.22)
Dasgupta Sanjoy,CSE 151A - Intro to Machine Learning (B),WI23,97.3%,97.3%,8.5,A- (3.74),B (3.25)
Chandraker Manmohan Krishna,CSE 152A - Intro to Comp Vision I (A),WI23,96.1%,96.1%,9.6,B+ (3.46),B+ (3.51)
Politz Joseph Gibbs,CSE 15L - Software Tools&Techniques Lab (A),WI23,93.3%,93.2%,3.79,A- (3.87),A- (3.77)
Politz Joseph Gibbs,CSE 15L - Software Tools&Techniques Lab (B),WI23,98.0%,97.5%,3.84,A- (3.92),A- (3.80)
Kastner Ryan Charles,CSE 160 - Intro to Parallel Computing (A),WI23,95.6%,97.8%,7.02,B+ (3.53),B+ (3.37)
Ochoa Benjamin Lawrence,CSE 166 - Image Processing (A),WI23,81.8%,81.8%,8.68,B- (2.95),B- (2.70)
Ramamoorthi Ravi,CSE 167 - Computer Graphics (A),WI23,87.0%,88.4%,9.41,B+ (3.50),B (3.22)
Rotenberg Steven Paul,CSE 169 - Computer Animation (A),WI23,94.1%,94.1%,9.68,B+ (3.56),B (3.14)
Pevzner Pavel Arkadjevich,CSE 181 - Molecular Sequence Analysis (A),WI23,93.3%,93.3%,14.77,B+ (3.67),B+ (3.62)
Bandeira Nuno Filipe Cabrita,CSE 190 - Top/Computer Sci & Engineering (A),WI23,91.7%,100.0%,6.68,B+ (3.36),B- (2.78)
Coblenz Michael J,CSE 198 - Direct Group Study (0),WI23,100.0%,100.0%,5.17,A (4.00),
Elsherif May Elhussein,CSE 198 - Direct Group Study (0),WI23,100.0%,93.3%,7.32,A (4.00),
Soosai Raj Adalbert Geral,CSE 198 - Direct Group Study (0),WI23,87.5%,100.0%,3.5,A (4.00),
Jones Miles E,CSE 20 - Discrete Mathematics (A),WI23,89.2%,92.1%,6.8,B+ (3.63),B (3.24)
Briones Jor-el Thomas Caparas,CSE 21 - Math/Algorithm&Systems Analys (A),WI23,93.2%,89.4%,7.51,B+ (3.58),B+ (3.69)
Soosai Raj Adalbert Geral,CSE 30 - Computer Organiz&Systms Progrm (A),WI23,95.3%,95.2%,9.59,B+ (3.44),B (3.09)
Soosai Raj Adalbert Geral,CSE 30 - Computer Organiz&Systms Progrm (B),WI23,95.5%,98.9%,10.24,B+ (3.39),B (3.05)
Cottrell Garrison W,CSE 87 - First-year Seminar (A),WI23,100.0%,85.7%,0.5,A (4.00),
Elsherif May Elhussein,CSE 8A - Intro to Programming 1 (A),WI23,88.7%,91.4%,6.82,B+ (3.55),B (3.24)
Miranda Gregory Joseph,CSE 8B - Intro to Programming 2 (A),WI23,86.5%,70.3%,6.98,B+ (3.53),B+ (3.41)
Minnes Kemp Mor Mia,CSE 90 - Undergraduate Seminar (A),WI23,100.0%,100.0%,0.94,A (4.00),
Minnes Kemp Mor Mia,CSE 91 - Perspectives in CSE (A),WI23,100.0%,100.0%,0.72,,
Minnes Kemp Mor Mia,CSE 91 - Perspectives in CSE (B),WI23,100.0%,100.0%,5.5,A (4.00),
Minnes Kemp Mor Mia,CSE 91 - Perspectives in CSE (C),WI23,100.0%,100.0%,0.5,A (4.00),
Minnes Kemp Mor Mia,CSE 95 - Tutor Apprentice (A),WI23,100.0%,100.0%,1.1,A (4.00),
Minnes Kemp Mor Mia,CSE 95 - Tutor Apprentice (B),WI23,100.0%,100.0%,1.83,,
Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (A),WI23,84.5%,90.1%,9.46,B+ (3.30),B- (2.98)
Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (B),WI23,89.0%,91.8%,8.82,B+ (3.36),B (3.14)
Tiefenbruck Janine LoBue,DSC 10 - Principles of Data Science (D),WI23,88.5%,90.4%,7.96,B+ (3.42),B- (2.76)
Salimi Babak,DSC 100 - Intro to Data Management (A),WI23,95.9%,81.4%,5.66,A- (3.86),A- (3.85)
Kolovos Alexandros,DSC 102 - Systems for Scalable Analytics (A),WI23,80.4%,91.3%,7.79,B+ (3.56),A- (3.88)
Liao Soohyun Nam,DSC 106 - Intro to Data Visualization (A),WI23,57.1%,40.7%,9.44,B+ (3.69),B+ (3.70)
Eldridge Justin Matthew,DSC 140A - Probabilistic Modeling and ML (A),WI23,97.2%,97.2%,7.01,B+ (3.49),B+ (3.42)
Aoi Mikio C,DSC 140A - Probabilistic Modeling and ML (B),WI23,88.9%,91.7%,7.41,B+ (3.41),B+ (3.36)
Shang Jingbo,DSC 148 - Introduction to Data Mining (A),WI23,94.9%,89.5%,6.86,A- (3.90),A- (3.82)
Zaslavsky Ilya,DSC 170 - Spatial Data Science and Appl (A),WI23,83.3%,83.3%,12.17,B+ (3.50),A- (3.97)
Rampure Suraj,DSC 180B - Data Science Project II (A),WI23,95.8%,100.0%,8.24,A (4.00),A- (3.95)
Rampure Suraj,DSC 180B - Data Science Project II (B),WI23,94.7%,100.0%,9.24,A- (3.89),A- (3.89)
Smarr Benjamin,DSC 190 - Topics in Data Science (B),WI23,100.0%,100.0%,2.96,A- (3.92),
Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI23,93.2%,93.2%,11.13,B+ (3.49),B (3.17)
Langlois Marina,DSC 20 - Prgrmng/DataStruc for Data Sci (B),WI23,75.4%,83.1%,10.41,B+ (3.37),B- (2.91)
Liao Soohyun Nam,DSC 30 - DataStrc/Algrthms for Data Sci (A),WI23,75.8%,63.2%,12.27,B (3.15),B (3.26)
Mishne Gal,DSC 40A - Theor Fndtns of Data Sci I (A),WI23,79.8%,84.5%,8.03,B (3.15),B (3.05)
Roy Abhishek,DSC 40A - Theor Fndtns of Data Sci I (B),WI23,76.7%,73.3%,9.5,B+ (3.40),B (3.16)
Eldridge Justin Matthew,DSC 40B - Theor Fndtns of Data Sci II (A),WI23,96.7%,100.0%,6.32,B+ (3.57),B+ (3.34)
Wang Yusu,DSC 40B - Theor Fndtns of Data Sci II (B),WI23,92.0%,84.0%,5.3,A- (3.83),B+ (3.32)
Rampure Suraj,DSC 80 - Practice of Data Science (A),WI23,98.0%,98.0%,12.9,B+ (3.49),B+ (3.57)
Langlois Marina,DSC 95 - Tutor Appshp in Data Science (A),WI23,100.0%,100.0%,2.06,A (4.00),
Quer Giorgio,DSC 96 - Workshop in Data Science (A),WI23,100.0%,100.0%,3.5,A (4.00),
Baghdadchi Saharnaz,ECE 101 - Linear Systems Fundamentals (A),WI23,80.7%,94.1%,8.09,B (3.24),B- (2.75)
Le Hanh-Phuc,ECE 102 - Intro/Active Circuit Design (A),WI23,94.3%,96.2%,8.31,B (3.08),B (3.04)
Lo Yu-Hwa,ECE 103 - Fundamntls/Devices & Materials (A),WI23,83.3%,75.0%,4.75,B (3.08),B- (2.89)
Lomakin Vitaliy,ECE 107 - Electromagnetism (A),WI23,71.0%,70.0%,8.82,B- (2.87),B (3.06)
Zeger Kenneth A.,ECE 109 - Engineering Probability&Stats (A),WI23,76.0%,91.8%,7.07,B (3.13),B- (2.75)
Eldon John,ECE 111 - Advanced Digital Design Proj (A),WI23,91.2%,95.2%,5.73,B+ (3.69),B+ (3.69)
Esmaili Gholamreza,ECE 121B - Energy Conversion (A),WI23,81.0%,88.9%,8.79,B (3.14),B (3.23)
Le Hanh-Phuc,ECE 125A - Intro to Power Electronics I (A),WI23,95.8%,95.8%,8.75,B- (2.98),B- (2.85)
Esmaili Gholamreza,ECE 128B - Power Grid Modernization (A),WI23,77.8%,72.2%,7.61,B (3.22),B (3.16)
Dayeh Shadi Ahmad,ECE 135B - Electronic Devices (A),WI23,100.0%,100.0%,7.17,B+ (3.33),
Gessner Richard K.,ECE 140A - The Art of Product Eng I (A),WI23,82.1%,92.1%,12.76,B+ (3.41),B (3.09)
Khoshabeh Ramsin,ECE 140A - The Art of Product Eng I (A),WI23,82.1%,94.9%,12.76,B+ (3.41),B (3.09)
Gessner Richard K.,ECE 141A - Software Foundations I (A),WI23,80.0%,93.3%,14.74,B+ (3.33),C+ (2.54)
Unpingco Jose H.,ECE 143 - Programming for Data Analysis (A),WI23,98.1%,98.1%,7.5,A- (3.80),A- (3.82)
Phan Alex Minh Giang,ECE 144 - LabVIEW Programming (A),WI23,97.6%,97.6%,9.45,B+ (3.49),B+ (3.61)
Silberman Jack,ECE 148 - Intro to Autonomous Vehicles (A),WI23,84.6%,61.5%,11.5,A- (3.79),A- (3.84)
Wang Edward Jay,ECE 15 - Engineering Computation (A),WI23,76.1%,91.2%,8.87,B- (2.99),B- (2.70)
Kumar Rakesh,ECE 150 - Entrepreneurship for Engineers (A),WI23,96.6%,86.2%,5.95,B+ (3.69),B+ (3.33)
Javidi Tara,ECE 159 - Intro Data Proc & Info Theory (A),WI23,100.0%,100.0%,5.7,B+ (3.60),
Nguyen Truong Quang,ECE 161B - Digital Signal Processing I (A),WI23,92.3%,100.0%,8.19,B (3.15),B (3.30)
Trivedi Mohan M.,ECE 172A - Introductn/Intelligent Systems (A),WI23,90.5%,86.4%,7.5,B+ (3.40),B+ (3.38)
Vasconcelos Nuno,ECE 175A - Pattrn Recogn and Machine Lrng (A),WI23,93.3%,90.0%,9.12,B (3.24),B (3.01)
Wang Xiaolong,ECE 176 - Intro Deep Learning & Apps (A),WI23,83.7%,81.0%,8.54,A- (3.71),B+ (3.69)
Antipa Nicholas A,ECE 181 - Physical Optics&Fourier Optics (A),WI23,80.0%,100.0%,5.7,B+ (3.60),
Morris Karcher William,ECE 25 - Introduction to Digital Design (A),WI23,94.2%,98.1%,7.19,B (3.10),B- (2.80)
Gilja Vikash,ECE 35 - Introduction to Analog Design (A),WI23,86.3%,90.0%,9.05,B (3.16),C+ (2.53)
Sworder David D.,ECE 45 - Circuits and Systems (A),WI23,43.0%,8.0%,8.41,B- (2.81),B (3.11)
Morris Karcher William,ECE 5 - Intro to ECE (A),WI23,93.3%,96.7%,5.85,B+ (3.58),B (3.24)
Baghdadchi Saharnaz,ECE 65 - Components & Circuits Lab (A),WI23,93.6%,96.4%,9.37,B+ (3.44),B (3.07)
Styler William Francis,LIGN 101 - Introduction/Study of Language (A),WI23,94.9%,100.0%,3.6,B+ (3.64),B+ (3.36)
Bakovic Eric John,LIGN 111 - Phonology I (A),WI23,96.8%,93.5%,6.69,B+ (3.58),B+ (3.52)
Styler William Francis,LIGN 113 - Hearing Sci.&Hearing Disorders (A),WI23,88.0%,100.0%,3.3,B+ (3.68),B (3.06)
Munoz Sanchez Alicia,LIGN 119 - 1st&2nd Lang Lrn:Child to Adol (A),WI23,90.0%,100.0%,3.76,B+ (3.55),B+ (3.43)
Yuan Michelle,LIGN 121 - Syntax I (A),WI23,96.2%,96.2%,5.27,B+ (3.36),B (3.09)
Caballero Gabriela Hernandez,LIGN 141 - Language Structures (A),WI23,100.0%,100.0%,5.3,B+ (3.40),
Drake Emily C,LIGN 142 - Language Typology (A),WI23,100.0%,100.0%,5.7,B+ (3.60),B+ (3.32)
Kehler Andrew Scott,LIGN 17 - Making and Breaking Codes (A),WI23,98.1%,100.0%,3.62,B (3.30),B- (2.94)
Garellek Marc,LIGN 175 - Sociolinguistics (A),WI23,92.3%,96.2%,4.26,B+ (3.65),B+ (3.56)
Kluender Robert,LIGN 179 - Second Lang Acquisition Resrc (A),WI23,83.3%,83.3%,4.9,B (3.20),B (3.03)
Zaslansky Matthew,LIGN 7 - Sign Languages&Their Cultures (A),WI23,92.3%,97.4%,3.02,B+ (3.68),A- (3.71)
McIntosh Justin Daniel,LIGN 8 - Languages & Cultures/America (A),WI23,100.0%,100.0%,3.23,A- (3.78),B+ (3.50)
Nomura Keiko K.,MAE 101A - Introductory Fluid Mechanics (A),WI23,95.6%,90.4%,7.68,B (3.26),B (3.25)
Bahadori Mohammad Yousef,MAE 101B - Advanced Fluid Mechanics (A),WI23,91.4%,97.1%,7.78,B (3.13),B- (2.77)
Bahadori Mohammad Yousef,MAE 11 - Thermodynamics (A),WI23,87.2%,85.1%,7.24,B- (2.93),C+ (2.55)
Rangamani Padmini,MAE 11 - Thermodynamics (B),WI23,97.9%,100.0%,7.1,B+ (3.47),B- (2.85)
Sanchez Antonio Luis,MAE 113 - Fundamentals of Propulsion (A),WI23,96.8%,95.2%,8.18,B (3.29),B (3.07)
Pawlak Geno Ronald,MAE 122 - Flow & Transport/Environment (A),WI23,92.3%,92.3%,6.13,B- (2.87),B- (2.95)
Kleissl Jan,MAE 123 - Intro/Transprt in Porous Media (A),WI23,100.0%,100.0%,3.83,B (3.00),
Kleissl Jan,MAE 125 - Building Energy Efficiency (A),WI23,85.3%,88.2%,6.38,B (3.26),B (3.18)
Nesterenko Vitali F,MAE 130 - Advanced Vibrations (A),WI23,60.0%,80.0%,6.9,C+ (2.60),
Kamensky David M,MAE 131A - Solid Mechanics I (A),WI23,88.2%,85.3%,6.8,B (3.18),B- (2.99)
Ghazinejad Maziar,MAE 131B - Solid Mechanics II (A),WI23,95.0%,98.7%,7.26,B+ (3.30),B (3.15)
Anderson Mark Ronald,MAE 142 - Dynmcs&Control/Aerospace Vehic (A),WI23,100.0%,100.0%,4.65,B+ (3.60),B+ (3.48)
Bitmead Robert R.,MAE 143A - Signals and Systems (A),WI23,54.2%,50.7%,8.64,B- (2.78),B (3.05)
Morimoto Tania,MAE 143B - Linear Control (A),WI23,77.5%,97.5%,9.43,B- (2.75),C+ (2.42)
Martinez Sonia,MAE 146 - Intro to ML Algorithms (A),WI23,100.0%,94.1%,7.83,B+ (3.63),B+ (3.63)
Silberman Jack,MAE 148 - Intro to Autonomous Vehicles (A),WI23,100.0%,100.0%,13.05,A- (3.90),A- (3.83)
Gravish Nicholas G,MAE 150 - Computational Methods/Design (A),WI23,100.0%,100.0%,8.3,B+ (3.42),B- (2.85)
Anderson Mark Ronald,MAE 155A - Aerospace Engineering Design I (A),WI23,100.0%,100.0%,4.94,A- (3.78),A- (3.79)
Hwang John T,MAE 155A - Aerospace Engineering Design I (B),WI23,93.9%,97.0%,11.21,B+ (3.52),B+ (3.68)
Delson Nathan Joseph,MAE 156A - Fund. Prin./Mechanical Desgn I (A),WI23,66.1%,41.9%,13.69,B+ (3.35),B (3.17)
Tustaniwskyj Jerry I,MAE 156A - Fund. Prin./Mechanical Desgn I (A),WI23,66.1%,70.5%,13.69,B+ (3.35),B (3.17)
Qi Huihui,MAE 156B - Fund. Prin/Mechanical Desgn II (B),WI23,100.0%,100.0%,14.94,A (4.00),
Tustaniwskyj Jerry I,MAE 156B - Fund. Prin/Mechanical Desgn II (C),WI23,100.0%,100.0%,13.17,A (4.00),
Meyers Marc,MAE 160 - Mechanical Behavior/Materials (A),WI23,83.3%,79.2%,3.69,B+ (3.68),A- (3.77)
Boechler Nicholas Sebastia,MAE 171A - Mechanical Engineering Lab I (A),WI23,87.2%,96.2%,7.64,B+ (3.51),A- (3.90)
de Callafon Raymond A,MAE 175A - Aerospace Engineering Lab (A),WI23,75.7%,91.7%,9.09,B+ (3.46),B+ (3.69)
Rosengren Aaron,MAE 180A - Spacecraft Guidance I (A),WI23,64.3%,71.4%,6.93,B- (2.92),B- (2.97)
Ghazinejad Maziar,MAE 190 - Topics in Mech and Aero Eng (A),WI23,100.0%,100.0%,6.04,B+ (3.41),B (3.25)
Evdokimenko Ekaterina,MAE 20 - Elements of Materials Science (A),WI23,94.0%,98.0%,6.18,B+ (3.66),B (3.06)
Delson Nathan Joseph,MAE 3 - Intro to Mechanical Design (A),WI23,86.0%,90.5%,14.13,B+ (3.42),B (3.18)
Lucas Andrew J.,MAE 3 - Intro to Mechanical Design (A),WI23,87.0%,78.3%,14.59,B (3.17),B (3.06)
Bahadori Mohammad Yousef,MAE 30A - Statics & Intro to Dynamics (A),WI23,88.0%,61.6%,7.23,B (3.07),B- (2.78)
Qi Huihui,MAE 30A - Statics & Intro to Dynamics (B),WI23,98.2%,98.2%,8.57,B+ (3.34),B (3.13)
Lubarda Marko,MAE 30A - Statics & Intro to Dynamics (C),WI23,93.1%,96.4%,6.16,B (3.26),B- (2.93)
Lubarda Marko,MAE 30B - Dynamics and Vibrations (A),WI23,84.2%,81.6%,8.67,B (3.19),B- (2.77)
Orosco Jeremy Richard,MAE 40 - Linear Circuits (A),WI23,50.0%,38.3%,8.5,C+ (2.53),B- (2.85)
Arefiev Alexey,MAE 8 - MATLAB Program for Engr Analys (A),WI23,87.3%,92.7%,6.25,B (3.17),B (3.10)
Pham Hieu Tan,MAE 8 - MATLAB Program for Engr Analys (B),WI23,91.5%,96.6%,8.09,B+ (3.33),B (3.20)
Chapman Eddie Nathaniel,PSYC 1 - Psychology (A),WI23,99.3%,98.6%,3.77,A- (3.83),A- (3.73)
Rose Fred E.,PSYC 100 - Clinical Psychology (A),WI23,96.5%,93.0%,5.92,B+ (3.49),B- (2.97)
Walker Caren Michelle,PSYC 101 - Developmental Psychology (A),WI23,93.4%,94.2%,4.68,B+ (3.38),B (3.06)
Gentner Tim,PSYC 102 - Sensory Neuroscience (A),WI23,75.0%,89.8%,5.43,B (3.13),B- (2.79)
Brady Timothy Francis,PSYC 105 - Cognitive Psychology (A),WI23,98.0%,98.4%,4.87,B+ (3.53),B (3.15)
Dobkins Karen R.,PSYC 106 - Behavioral Neuroscience (A),WI23,90.7%,92.5%,4.93,B (3.25),B- (2.98)
Heyman Gail D.,PSYC 110 - Junior Honors Research Seminar (A),WI23,95.2%,100.0%,2.6,A- (3.95),A- (3.97)
Hurwitz Ethan Scott,PSYC 111A - Research Methods I (A),WI23,84.4%,78.1%,10.5,B+ (3.52),B+ (3.64)
Lang Ariel,PSYC 116B - Lab/Clinical Psych Research II (A),WI23,100.0%,100.0%,6.9,B+ (3.60),A- (3.86)
Rose Fred E.,PSYC 125 - Clinical Neuropsychology (A),WI23,83.3%,87.5%,5.73,B+ (3.36),B- (2.72)
Anagnostaras Stephan,PSYC 131 - Scientific Racism (A),WI23,100.0%,94.1%,3.5,A- (3.94),A- (3.90)
Golden Susan S.,PSYC 133R - Circadian Rhythms-Bio Clocks (A),WI23,78.8%,87.9%,6.44,B+ (3.39),B- (2.91)
Gorman Michael R.,PSYC 133R - Circadian Rhythms-Bio Clocks (A),WI23,78.8%,97.0%,6.44,B+ (3.39),B- (2.91)
Fine Rachel,PSYC 137 - Social Cognition (A),WI23,86.3%,80.6%,4.07,B+ (3.35),B (3.19)
McCullough Michael E,PSYC 141 - Evolution and Human Nature (A),WI23,83.0%,88.7%,4.33,B- (2.85),B- (2.76)
Yilmaz Anne Sheyda,PSYC 144 - Memory and Amnesia (A),WI23,79.6%,81.0%,5.63,B- (2.91),B- (2.83)
Mc Kenzie Craig R.M.,PSYC 148 - Psychology/Judgement&Decision (A),WI23,65.6%,75.0%,4.5,B (3.13),B (3.06)
Glaser Dale,PSYC 151 - Tests and Measurement (A),WI23,78.9%,94.7%,4.82,B (3.06),C+ (2.57)
Lacefield Katharine I,PSYC 154 - Behavior Modification (A),WI23,97.1%,98.1%,3.7,A- (3.75),B+ (3.64)
Pashler Harold E,PSYC 161 - Engineering Psychology (A),WI23,68.2%,59.1%,5.54,B- (2.78),B+ (3.34)
Dobkins Karen R.,PSYC 175 - Science of Mindfulness (A),WI23,100.0%,100.0%,4.62,A- (3.87),A- (3.73)
Aron Adam,PSYC 185 - Psychology Climate Crisis (A),WI23,63.2%,69.8%,4.79,B (3.04),B (3.06)
Lacefield Katharine I,PSYC 188 - Impulse Control Disorders (A),WI23,100.0%,100.0%,3.57,A- (3.78),B+ (3.54)
Rickard Timothy C.,PSYC 191 - Psychology of Sleep (A),WI23,100.0%,97.7%,4.5,B (3.19),B- (2.84)
Chapman Eddie Nathaniel,PSYC 193 - Topics in Psychology (A),WI23,100.0%,100.0%,5.32,A- (3.71),A- (3.92)
Rickard Timothy C.,PSYC 193 - Topics in Psychology (B),WI23,100.0%,90.9%,5.95,B+ (3.45),B+ (3.36)
Harris Christine Renee,PSYC 193 - Topics in Psychology (C),WI23,100.0%,100.0%,4.21,A- (3.86),
Pilegard Celeste Cristine,PSYC 193 - Topics in Psychology (D),WI23,97.3%,100.0%,4.11,B+ (3.62),B+ (3.65)
Schill Hayden,PSYC 193 - Topics in Psychology (E),WI23,100.0%,100.0%,3.7,A- (3.80),A- (3.80)
Barner David A.,PSYC 193L - Psychology Laboratory Topics (A),WI23,100.0%,100.0%,5.93,A- (3.86),B+ (3.69)
Lowe Angela Beth,PSYC 193L - Psychology Laboratory Topics (B),WI23,93.8%,100.0%,3.88,B+ (3.44),B+ (3.38)
Heyman Gail D.,PSYC 194B - Honors Thesis II (A),WI23,100.0%,87.5%,7.75,A (4.00),
Moranton Nirelia Melbina-,PSYC 2 - Gen Psych:Biological Foundatns (A),WI23,79.5%,85.2%,6.21,B- (2.92),C+ (2.68)
Wilson Brent M,PSYC 3 - Gen Psych:Cognitive Foundatns (A),WI23,86.6%,90.5%,3.74,B (3.20),B (3.03)
Willis Jarryd Thomas,PSYC 6 - General Psychology: Social (A),WI23,99.6%,99.1%,3.45,B+ (3.63),B+ (3.56)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (A),WI23,83.4%,97.5%,5.76,B (3.03),C+ (2.68)
Steiner Eric Tomas,PSYC 60 - Introduction to Statistics (B),WI23,89.4%,94.9%,4.76,B (3.05),B- (2.71)
Kleiman-Lynch Leo Jacob,PSYC 70 - Research Methods in Psychology (A),WI23,84.6%,93.2%,4.78,B+ (3.31),B- (2.75)
Pilegard Celeste Cristine,PSYC 71 - Lab/Psych Research Methods (A),WI23,81.5%,96.3%,6.5,B (3.22),B (3.18)
Steiner Eric Tomas,PSYC 71 - Lab/Psych Research Methods (B),WI23,78.6%,92.9%,5.71,B (3.18),B- (2.83)
Pilegard Celeste Cristine,PSYC 87 - First-year Seminar (A),WI23,100.0%,100.0%,1.25,A (4.00),
Mc Culloch Andrew Douglas,BENG 110 - Muskoloskeletal Biomechanics (A),FA22,81.3%,84.6%,6.48,B (3.19),B (3.16)
Wheeler Bruce Christopher,BENG 119A - Design Develop.in Biomechanics (A),FA22,100.0%,100.0%,4.5,A (4.00),A- (3.78)
Cauwenberghs Gert,BENG 122A - Biosystems and Control (A),FA22,80.0%,80.0%,8.6,B+ (3.50),B+ (3.53)
Wheeler Bruce Christopher,BENG 129A - Design Develp.Cell System BENG (A),FA22,100.0%,100.0%,4.5,A (4.00),
Smarr Benjamin,BENG 134 - Measurements/Stats/Probability (A),FA22,94.4%,88.9%,6.5,B+ (3.35),B- (2.87)
Wheeler Bruce Christopher,BENG 135 - Biomedical Signals & Systems (A),FA22,100.0%,100.0%,7.7,A- (3.80),B+ (3.63)
Wheeler Bruce Christopher,BENG 139A - Design Develpmt Molecular BENG (A),FA22,100.0%,100.0%,3.17,A (4.00),
Lal Ratnesh,BENG 141 - Biomedical Optics and Imaging (A),FA22,94.1%,82.4%,4.56,A- (3.83),A- (3.85)
Fraley Stephanie I.,BENG 161A - Bioreactor Engineering (A),FA22,75.0%,75.0%,9.48,B (3.23),B (3.04)
Mali Prashant Gulab Ram,BENG 162 - Biotechnology Laboratory (A),FA22,86.3%,94.1%,7.66,B+ (3.52),B+ (3.51)
Sah Robert Lie-Yuan,BENG 166A - Cell and Tissue Engineering (A),FA22,61.0%,75.6%,6.65,A- (3.87),B+ (3.57)
Wheeler Bruce Christopher,BENG 169A - Design Developmnt Tissue Engin (A),FA22,66.7%,100.0%,3.83,A (4.00),
Wheeler Bruce Christopher,BENG 179A - Design Develop.Bioinstrumntatn (A),FA22,100.0%,100.0%,10.0,A (4.00),B+ (3.67)
Zhong Sheng,BENG 183 - Applied Genomic Technologies (A),FA22,81.5%,84.6%,6.28,A- (3.82),A (4.00)
Wheeler Bruce Christopher,BENG 187B - BENG Design Project:Developmnt (A),FA22,78.9%,91.9%,4.72,A- (3.97),
Wheeler Bruce Christopher,BENG 2 - Intro Computer Prog & MATLAB (A),FA22,100.0%,100.0%,4.94,B+ (3.44),
Mc Culloch Andrew Douglas,BENG 87 - Freshman Seminar (A),FA22,100.0%,100.0%,0.86,A (4.00),
Omens Jeffrey Howard,BENG 87 - Freshman Seminar (A),FA22,100.0%,100.0%,0.86,A (4.00),
Moshiri Alexander Niema,CSE 100 - Advanced Data Structures (A),FA22,98.6%,99.3%,7.91,B+ (3.64),B+ (3.38)
Moshiri Alexander Niema,CSE 100R - Advanced Data Structures (A),FA22,99.5%,98.9%,8.47,B+ (3.63),B+ (3.52)
Jones Miles E,CSE 101 - Design & Analysis of Algorithm (A),FA22,78.0%,98.0%,9.72,B (3.14),B (3.22)
Saha Barna,CSE 101 - Design & Analysis of Algorithm (A),FA22,78.0%,69.7%,9.72,B (3.14),B (3.22)
Freund Yoav,CSE 103 - Practical Intro/Prob & Stats (A),FA22,82.1%,78.6%,7.09,B+ (3.37),B- (2.85)
Micciancio Daniele,CSE 105 - Theory of Computation (A),FA22,65.8%,44.4%,10.09,B (3.16),B- (2.93)
Paturi Ramamohan,CSE 106 - Discrete/Cont Optimization (A),FA22,85.7%,85.7%,9.07,B+ (3.43),
Bellare Mihir,CSE 107 - Intro to Modern Cryptography (A),FA22,90.0%,95.0%,7.74,B (3.19),B- (2.88)
Cao Yingjun,CSE 11 - Accel. Intro to Programming (A),FA22,97.1%,97.1%,8.63,A- (3.71),B+ (3.52)
Cao Yingjun,CSE 11 - Accel. Intro to Programming (B),FA22,97.3%,96.6%,8.3,B+ (3.63),B+ (3.55)
Cao Yingjun,CSE 11 - Accel. Intro to Programming (C),FA22,95.9%,92.6%,8.6,B+ (3.59),B+ (3.44)
Powell Thomas Allan,CSE 110 - Software Engineering (A),FA22,69.3%,73.7%,8.94,B+ (3.60),B+ (3.58)
Weibel Nadir,CSE 118 - Ubiquitous Computing (A),FA22,100.0%,100.0%,9.7,A- (3.80),
Miranda Gregory Joseph,CSE 12 - Basic Data Struct & OO Design (A),FA22,85.7%,71.4%,11.17,B (3.10),B- (2.72)
Miranda Gregory Joseph,CSE 12 - Basic Data Struct & OO Design (B),FA22,80.4%,77.6%,11.09,B (3.20),B+ (3.35)
Miranda Gregory Joseph,CSE 12 - Basic Data Struct & OO Design (C),FA22,78.1%,74.2%,9.89,B (3.12),B (3.06)
Voelker Geoffrey M.,CSE 120 - Princ/Computer Operating Systm (A),FA22,93.8%,100.0%,10.5,B+ (3.44),B (3.06)
Porter George M,CSE 124 - Networked Services (A),FA22,100.0%,100.0%,9.9,B+ (3.37),B- (2.94)
Savage Stefan,CSE 127 - Intro to Computer Security (A),FA22,97.9%,100.0%,7.65,B+ (3.32),B (3.08)
